CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
0_to_200,40,credits_paid_to_date,other,2644,100_to_500,less_1,3,female,none,3,savings_insurance,32,none,own,1,skilled,1,none,yes,Risk
less_0,23,credits_paid_to_date,car_new,646,less_100,1_to_4,2,female,none,2,savings_insurance,37,stores,own,2,skilled,1,none,yes,No Risk
less_0,19,prior_payments_delayed,furniture,350,less_100,1_to_4,2,male,none,3,real_estate,28,none,own,2,skilled,1,yes,no,No Risk
0_to_200,36,credits_paid_to_date,retraining,5170,less_100,greater_7,3,male,none,2,savings_insurance,32,none,own,1,skilled,1,none,yes,No Risk
no_checking,36,prior_payments_delayed,education,8729,500_to_1000,greater_7,3,male,none,3,unknown,57,none,own,2,skilled,1,none,yes,Risk
no_checking,41,outstanding_credit,vacation,13445,500_to_1000,greater_7,6,male,co-applicant,5,unknown,57,none,free,2,skilled,2,yes,yes,Risk
no_checking,11,prior_payments_delayed,car_new,1444,100_to_500,4_to_7,3,male,none,4,savings_insurance,41,none,own,1,management_self-employed,1,none,yes,No Risk
less_0,20,credits_paid_to_date,vacation,4352,less_100,4_to_7,3,female,none,1,car_other,36,none,own,2,skilled,1,none,yes,No Risk
0_to_200,14,credits_paid_to_date,car_new,6374,less_100,less_1,3,female,none,3,savings_insurance,22,none,own,1,management_self-employed,1,none,yes,No Risk
no_checking,45,outstanding_credit,appliances,9993,500_to_1000,greater_7,5,male,co-applicant,4,unknown,49,none,free,2,skilled,2,yes,yes,Risk
less_0,6,all_credits_paid_back,car_new,2132,less_100,unemployed,2,female,none,2,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk
less_0,11,all_credits_paid_back,car_used,6022,less_100,1_to_4,3,male,none,1,car_other,34,none,free,1,skilled,1,none,yes,No Risk
no_checking,35,outstanding_credit,furniture,4634,500_to_1000,greater_7,5,male,none,3,car_other,40,none,free,1,skilled,1,yes,yes,No Risk
0_to_200,37,credits_paid_to_date,furniture,5187,less_100,less_1,3,female,co-applicant,3,car_other,44,none,own,1,skilled,1,none,yes,No Risk
greater_200,5,all_credits_paid_back,car_new,3369,less_100,1_to_4,3,female,none,2,car_other,52,none,own,1,skilled,2,yes,yes,No Risk
no_checking,42,all_credits_paid_back,furniture,5334,100_to_500,less_1,2,female,co-applicant,4,savings_insurance,35,none,own,1,skilled,1,none,yes,Risk
0_to_200,5,all_credits_paid_back,car_new,350,less_100,1_to_4,2,female,none,1,real_estate,26,none,own,1,skilled,1,none,yes,No Risk
no_checking,50,prior_payments_delayed,repairs,10010,500_to_1000,4_to_7,3,male,co-applicant,4,unknown,52,none,own,2,skilled,1,yes,yes,Risk
0_to_200,5,all_credits_paid_back,car_new,350,less_100,1_to_4,2,female,none,2,real_estate,28,none,own,1,skilled,1,none,yes,No Risk
less_0,16,all_credits_paid_back,vacation,3243,less_100,less_1,2,female,none,2,savings_insurance,27,stores,own,2,skilled,1,none,yes,Risk
0_to_200,19,prior_payments_delayed,furniture,350,500_to_1000,4_to_7,3,male,none,2,savings_insurance,24,none,own,2,skilled,2,yes,yes,No Risk
0_to_200,20,prior_payments_delayed,car_new,7771,100_to_500,1_to_4,3,male,none,3,car_other,34,none,rent,2,management_self-employed,1,none,yes,No Risk
no_checking,44,prior_payments_delayed,furniture,8488,unknown,1_to_4,4,male,none,5,car_other,40,none,own,2,skilled,1,none,yes,Risk
less_0,16,all_credits_paid_back,radio_tv,1463,100_to_500,less_1,2,female,none,1,real_estate,24,none,rent,1,skilled,1,none,yes,No Risk
less_0,19,credits_paid_to_date,vacation,350,less_100,4_to_7,2,female,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
0_to_200,42,credits_paid_to_date,repairs,5524,less_100,4_to_7,2,female,none,2,car_other,33,stores,own,1,unskilled,1,none,yes,No Risk
less_0,29,prior_payments_delayed,car_used,350,greater_1000,1_to_4,2,male,none,3,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
less_0,11,prior_payments_delayed,furniture,408,less_100,less_1,2,female,none,3,car_other,51,none,rent,1,skilled,1,none,yes,Risk
no_checking,13,prior_payments_delayed,radio_tv,6036,100_to_500,less_1,3,female,none,3,car_other,38,none,own,1,skilled,2,yes,yes,No Risk
no_checking,32,outstanding_credit,radio_tv,9723,500_to_1000,1_to_4,4,female,none,4,unknown,46,none,own,1,management_self-employed,1,yes,yes,Risk
no_checking,26,prior_payments_delayed,appliances,3957,unknown,4_to_7,3,male,co-applicant,3,savings_insurance,31,none,own,1,skilled,1,none,yes,No Risk
no_checking,33,prior_payments_delayed,appliances,6147,500_to_1000,greater_7,4,female,none,3,car_other,39,stores,own,2,unskilled,2,yes,yes,Risk
less_0,27,prior_payments_delayed,car_used,446,100_to_500,greater_7,3,male,none,3,savings_insurance,32,none,rent,1,skilled,1,none,yes,Risk
0_to_200,36,credits_paid_to_date,furniture,4926,less_100,4_to_7,4,male,none,2,savings_insurance,39,none,own,1,skilled,1,yes,yes,Risk
0_to_200,9,credits_paid_to_date,car_new,350,less_100,less_1,1,female,none,2,real_estate,31,none,own,1,skilled,1,none,yes,Risk
less_0,19,prior_payments_delayed,car_used,1987,100_to_500,4_to_7,2,male,none,3,car_other,35,stores,rent,1,skilled,1,none,yes,No Risk
greater_200,18,prior_payments_delayed,car_new,2356,100_to_500,1_to_4,3,male,co-applicant,4,savings_insurance,35,none,own,1,skilled,1,yes,yes,No Risk
no_checking,36,outstanding_credit,car_used,6865,500_to_1000,1_to_4,2,male,none,3,car_other,40,none,own,1,skilled,2,yes,yes,Risk
no_checking,36,prior_payments_delayed,repairs,5304,100_to_500,4_to_7,4,male,none,4,car_other,29,none,own,2,skilled,1,none,yes,Risk
no_checking,83,outstanding_credit,retraining,13885,unknown,4_to_7,6,male,co-applicant,5,unknown,49,none,free,2,skilled,2,yes,yes,Risk
0_to_200,7,all_credits_paid_back,car_used,4361,less_100,1_to_4,2,female,co-applicant,2,real_estate,27,none,own,1,skilled,1,none,yes,Risk
less_0,13,all_credits_paid_back,car_new,1959,less_100,less_1,1,female,none,1,car_other,28,stores,own,1,skilled,1,none,yes,Risk
0_to_200,9,all_credits_paid_back,car_new,350,less_100,less_1,2,male,none,1,real_estate,22,none,rent,1,skilled,1,none,yes,Risk
no_checking,40,prior_payments_delayed,furniture,10759,100_to_500,4_to_7,4,male,none,4,unknown,51,none,free,2,skilled,1,yes,yes,Risk
less_0,5,credits_paid_to_date,car_new,350,less_100,1_to_4,2,female,none,1,real_estate,19,stores,own,1,skilled,1,none,yes,Risk
no_checking,32,credits_paid_to_date,radio_tv,5345,greater_1000,1_to_4,2,male,none,4,savings_insurance,36,none,rent,2,skilled,1,none,yes,Risk
0_to_200,24,credits_paid_to_date,car_used,2655,100_to_500,unemployed,1,male,none,3,savings_insurance,19,none,rent,1,skilled,1,none,yes,Risk
less_0,50,outstanding_credit,appliances,5783,100_to_500,1_to_4,4,male,none,4,unknown,29,bank,own,1,unskilled,1,yes,yes,Risk
no_checking,45,outstanding_credit,repairs,4957,greater_1000,greater_7,5,male,none,4,car_other,45,none,own,1,skilled,1,yes,yes,Risk
less_0,22,credits_paid_to_date,repairs,5405,less_100,1_to_4,3,male,none,3,real_estate,25,none,own,1,skilled,1,none,yes,No Risk
no_checking,49,outstanding_credit,other,8520,unknown,greater_7,4,female,co-applicant,5,unknown,44,stores,rent,2,unskilled,2,yes,yes,Risk
no_checking,33,prior_payments_delayed,radio_tv,8962,100_to_500,4_to_7,4,female,none,4,unknown,52,none,free,2,skilled,1,yes,yes,No Risk
no_checking,10,no_credits,car_new,350,less_100,1_to_4,3,female,none,3,real_estate,46,none,own,2,management_self-employed,2,none,yes,No Risk
no_checking,39,outstanding_credit,appliances,10710,500_to_1000,1_to_4,4,female,none,4,unknown,59,none,free,2,management_self-employed,2,yes,yes,Risk
no_checking,36,outstanding_credit,appliances,8386,500_to_1000,greater_7,5,male,co-applicant,3,car_other,55,none,free,2,skilled,2,yes,yes,Risk
greater_200,28,all_credits_paid_back,car_used,4726,less_100,less_1,3,female,none,2,car_other,32,none,own,1,skilled,1,none,yes,No Risk
no_checking,50,credits_paid_to_date,vacation,9007,unknown,greater_7,5,female,none,4,car_other,39,none,own,2,skilled,2,yes,yes,Risk
0_to_200,26,credits_paid_to_date,furniture,3418,less_100,unemployed,3,female,none,1,real_estate,42,none,own,1,skilled,1,none,yes,No Risk
greater_200,5,all_credits_paid_back,education,5888,less_100,unemployed,1,female,none,3,savings_insurance,27,none,own,1,management_self-employed,1,none,yes,No Risk
greater_200,29,credits_paid_to_date,car_used,4148,greater_1000,greater_7,4,female,none,4,car_other,46,none,own,2,skilled,1,none,yes,Risk
no_checking,40,prior_payments_delayed,vacation,3742,500_to_1000,1_to_4,3,male,none,2,real_estate,35,stores,rent,1,skilled,2,none,yes,Risk
no_checking,48,prior_payments_delayed,other,9759,500_to_1000,1_to_4,3,male,none,3,savings_insurance,54,none,own,2,skilled,1,yes,yes,Risk
no_checking,18,all_credits_paid_back,car_new,2135,500_to_1000,4_to_7,3,male,none,4,real_estate,33,none,own,1,skilled,1,none,yes,No Risk
less_0,13,prior_payments_delayed,furniture,5651,less_100,4_to_7,3,male,none,3,savings_insurance,31,none,rent,1,skilled,1,none,yes,Risk
0_to_200,36,credits_paid_to_date,retraining,1612,less_100,less_1,2,female,none,2,savings_insurance,20,stores,own,1,skilled,1,none,yes,No Risk
less_0,22,credits_paid_to_date,car_new,2632,less_100,less_1,3,female,co-applicant,2,savings_insurance,41,none,own,1,skilled,1,none,yes,No Risk
0_to_200,50,prior_payments_delayed,appliances,7958,100_to_500,1_to_4,4,female,none,2,unknown,37,none,own,2,skilled,1,yes,yes,Risk
no_checking,41,prior_payments_delayed,radio_tv,7147,500_to_1000,1_to_4,4,male,none,5,savings_insurance,44,none,own,2,management_self-employed,1,none,yes,Risk
no_checking,49,prior_payments_delayed,appliances,6986,500_to_1000,greater_7,4,male,none,4,car_other,50,bank,own,2,unemployed,2,yes,yes,Risk
